id	name	area_sqkm	center_lat	center_lng	other_names	province_id	ed_id	pd_id
LK-11	Colombo	688.17	6.869822	80.018487	கொழும்பு மாவட்டம்,කොළඹ දිස්ත්‍රික්ක	LK-1	EC-01	
LK-12	Gampaha	1385.23	7.123406	80.018206	கம்பஹா மாவட்டம்,ගම්පහ දිස්ත්‍රික්	LK-1	EC-02	
LK-13	Kalutara	1646.99	6.577185	80.127744	களுத்துறை மாவட்டம,කඵතර දිස්ත්‍රික්ක	LK-1	EC-03	
LK-21	Kandy	1927.69	7.273178	80.708811	கண்டி மாவட்டம்,මහනුවර දිස්ත්‍රික	LK-2	EC-04	
LK-22	Matale	2058.75	7.667651	80.730702	மாத்தளை மாவட்டம்,මාතලේ දිස්ත්‍රික්	LK-2	EC-05	
LK-23	Nuwara Eliya	1744.81	6.974738	80.711186	நுவரேலியா மாவட்டம,නුවරඑළිය දිස්ත්‍ර	LK-2	EC-06	
LK-31	Galle	1613.49	6.222792	80.251811	காலி மாவட்டம்,ගාල්ල දිස්ත්‍රික්	LK-3	EC-07	
LK-32	Matara	1306.37	6.142725	80.539846	மாத்தறை மாவட்டம்,මාතර දිස්ත්‍රික්ක	LK-3	EC-08	
LK-33	Hambantota	2625.06	6.254039	81.091281	அம்பாந்தோட்டை மாவ,හම්බන්තොට දිස්ත්‍	LK-3	EC-09	
LK-41	Jaffna	1090.31	9.687931	80.116037	யாழ்ப்பாணம் மாவட்,යාපනය දිස්ත්‍රික්	LK-4	EC-10	
LK-42	Mannar	2010.83	8.878476	80.091433	மன்னார் மாவட்டம்,මන්නාරම දිස්ත්‍රි	LK-4	EC-11	EC-11A
LK-43	Vavuniya	1934.91	8.853162	80.470869	வவுனியா மாவட்டம்,වවුනියා දිස්ත්‍රි	LK-4	EC-11	EC-11B
LK-44	Mullaitivu	2681.15	9.170128	80.552726	முல்லைத்தீவு மாவட,මුලතිවු දිස්ත්‍රි	LK-4	EC-11	
LK-45	Kilinochchi	1319.29	9.421424	80.309356	கிளிநொச்சி மாவட்ட,කිලිනොච්චි දිස්ත්	LK-4	EC-10	EC-10K
LK-51	Batticaloa	2469.9	7.79607	81.47809	மட்டக்களப்பு மாவட,මඩකලපුව දිස්ත්‍රි	LK-5	EC-12	
LK-52	Ampara	4474.66	7.233261	81.553888	அம்பாறை மாவட்டம்,අම්පාර දිස්ත්‍රික	LK-5	EC-13	
LK-53	Trincomalee	2692.11	8.553962	81.091548	திருகோணமலை மாவட்ட,ත්‍රිකුණාමළය දිස්	LK-5	EC-14	
LK-61	Kurunegala	4905.71	7.664511	80.236804	குருநாகல் மாவட்டம,කුරුණෑගල දිස්ත්‍ර	LK-6	EC-15	
LK-62	Puttalam	3133.88	7.975263	79.910874	புத்தளம் மாவட்டம்,පුත්තලම දිස්ත්‍රි	LK-6	EC-16	
LK-71	Anuradhapura	7218.29	8.392067	80.51313	அனுராதபுரம் மாவட்,අනුරාධපුර දිස්ත්‍	LK-7	EC-17	
LK-72	Polonnaruwa	3469.72	7.994209	81.028281	பொலன்னறுவை மாவட்ட,පොළොන්නරුව දිස්ත්	LK-7	EC-18	
LK-81	Badulla	2871.96	7.073578	81.044926	பதுளை மாவட்டம்,බදුල්ල දිස්ත්‍රික	LK-8	EC-19	
LK-82	Monaragala	5757.99	6.787062	81.301821	Moneragala,மொணராகலை மாவட்டம்,මොණරාගල දිස්ත්‍රි	LK-8	EC-20	
LK-91	Ratnapura	3287.08	6.586622	80.565541	இரத்தினபுரம் மாவட,රත්නපුර දිස්ත්‍රි	LK-9	EC-21	
LK-92	Kegalle	1657.73	7.104294	80.342772	கேகாலை மாவட்டம்,කෑගල්ල දිස්ත්‍රික	LK-9	EC-22	
